id,esco_occupation,task_id,onet_task,weight,mean_task_SML,weighted_task_SML,has_bottlenecks,onet_occupation,onet_code,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,qD,q19,q20,q21,q22,q23
1,metal drawing machine operator,8473,"Measure and examine extruded products to locate defects and to check for conformance to specifications, adjusting controls as necessary to alter products.",0.07254215717467387,3.4375,0.24936366528794143,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,2.75,4.25,2.5,3.25,2.5,4.0,3.25,4.5,3.5,4.75,4.75,4.25,3.75,2.5,3.5,2.75,2.0,3.25,4.0,2.0,4.0,4.5,1.75,2.0
1,metal drawing machine operator,8474,"Determine setup procedures and select machine dies and parts, according to specifications.",0.06888323258033725,3.525,0.2428133948456888,False,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.5,3.5,3.75,4.0,3.25,4.0,4.0,4.0,4.0,3.5,3.75,3.25,3.5,4.0,4.0,3.75,4.0,4.0,4.0,4.0,2.75,3.25,2.25,2.25
1,metal drawing machine operator,8475,"Install dies, machine screws, and sizing rings on machines that extrude thermoplastic or metal materials.",0.06617881005408845,3.225,0.21342666242443525,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.0,3.0,3.0,4.0,3.5,4.0,2.0,3.5,3.5,3.5,2.5,3.0,4.0,3.5,2.5,3.5,4.0,2.5,4.0,4.0,3.5,4.0,2.0,1.0
1,metal drawing machine operator,8476,Change dies on extruding machines according to production line changes.,0.06458797327394207,3.225,0.2082962138084632,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.0,3.0,3.0,4.0,3.5,4.0,2.0,3.5,3.5,3.5,2.5,3.0,4.0,3.5,2.5,3.5,4.0,2.5,4.0,4.0,3.5,4.0,2.0,1.0
1,metal drawing machine operator,8477,"Start machines and set controls to regulate vacuum, air pressure, sizing rings, and temperature, and to synchronize speed of extrusion.",0.06824689786827871,3.6,0.24568883232580338,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.75,3.75,3.5,4.0,2.5,4.0,4.0,3.5,4.0,4.0,4.5,4.0,2.5,4.0,2.75,2.5,3.0,4.0,4.0,4.0,4.5,3.5,2.5,1.5
1,metal drawing machine operator,8478,Replace worn dies when products vary from specifications.,0.0588609608654152,3.65,0.2148425071587655,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0
1,metal drawing machine operator,8479,Reel extruded products into rolls of specified lengths and weights.,0.06808781419026408,3.25,0.22128539611835826,False,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.5,4.0,3.0,3.0,4.0,2.5,3.5
1,metal drawing machine operator,8480,"Troubleshoot, maintain, and make minor repairs to equipment.",0.059020044543429837,3.5583333333333336,0.2100129918337045,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.8333333333333335,4.166666666666667,3.5,4.0,3.6666666666666665,3.1666666666666665,3.333333333333333,3.5,3.6666666666666665,3.5,4.5,3.5,4.666666666666667,3.333333333333333,3.6666666666666665,3.8333333333333335,3.6666666666666665,3.6666666666666665,4.0,3.5,4.166666666666667,3.6666666666666665,1.3333333333333333,2.1666666666666665
1,metal drawing machine operator,8481,Clean work areas.,0.06426980591791281,3.1,0.19923639834552972,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.0,3.0,4.0,3.0,3.0,3.0,3.5,3.0,3.0,3.5,3.5,3.0,2.5,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.0,4.5,2.0,2.0
1,metal drawing machine operator,8482,Adjust controls to draw or press metal into specified shapes and diameters.,0.0588609608654152,3.4,0.20012726694241167,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.5,3.5,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.5,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0
1,metal drawing machine operator,8483,Operate shearing mechanisms to cut rods to specified lengths.,0.050111358574610236,3.25,0.16286191536748326,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0
1,metal drawing machine operator,8484,"Select nozzles, spacers, and wire guides, according to diameters and lengths of rods.",0.05361119949093223,3.525,0.1889794782055361,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.0,3.0,3.5,4.0,3.5,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,3.5,3.5,2.0,2.5
1,metal drawing machine operator,8485,"Weigh and mix pelletized, granular, or powdered thermoplastic materials and coloring pigments.",0.06299713649379574,3.1375,0.19765351574928414,False,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,4.5,3.5,3.5,3.5,2.5,3.0,2.5,3.0,2.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,3.5,3.0,3.5,3.5,2.5,3.5,2.25,2.5
1,metal drawing machine operator,8486,"Load machine hoppers with mixed materials, using augers, or stuff rolls of plastic dough into machine cylinders.",0.061883550747693285,3.375,0.20885698377346484,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.5,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0
1,metal drawing machine operator,8487,"Test physical properties of products with testing devices such as acid-bath testers, burst testers, and impact testers.",0.0628380528157811,2.8,0.17594654788418707,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,1.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,3.0
1,metal drawing machine operator,8488,Maintain an inventory of materials.,0.059020044543429837,2.85,0.16820712694877504,True,"extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021.00,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.5,1.5
3,air traffic safety technician,3602,"Test electronics units, using standard test equipment, and analyze results to evaluate performance and determine need for adjustment.",0.06575477916941333,3.6,0.236717205009888,True,electronics engineering technicians,17-3023.01,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,3.5,3.5,4.0,2.0,2.0
3,air traffic safety technician,3603,Perform preventative maintenance or calibration of equipment or systems.,0.06114040870138431,3.275,0.2002348384970336,False,electronics engineering technicians,17-3023.01,4.0,4.0,3.25,3.75,2.75,3.25,2.5,3.75,3.0,3.0,4.0,2.75,3.5,3.5,3.5,4.0,3.25,4.0,4.0,3.0,3.0,3.0,3.0,2.5
3,air traffic safety technician,3604,"Read blueprints, wiring diagrams, schematic drawings, or engineering instructions for assembling electronics units, applying knowledge of electronic theory and components.",0.06822676334871458,3.525,0.2404993408042189,True,electronics engineering technicians,17-3023.01,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,2.5
3,air traffic safety technician,3605,"Identify and resolve equipment malfunctions, working with manufacturers or field representatives as necessary to procure replacement parts.",0.06690837178642056,3.0125,0.20156147000659194,False,electronics engineering technicians,17-3023.01,3.0,3.25,2.5,3.25,3.0,2.5,2.75,3.25,2.5,3.25,3.25,2.75,3.0,3.25,3.25,3.0,3.25,3.25,3.75,3.0,3.0,3.0,3.0,3.0
3,air traffic safety technician,3606,Maintain system logs or manuals to document testing or operation of equipment.,0.05982201713909033,3.175,0.1899349044166118,True,electronics engineering technicians,17-3023.01,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.5
3,air traffic safety technician,3607,"Assemble, test, or maintain circuitry or electronic components, according to engineering instructions, technical manuals, or knowledge of electronics, using hand or power tools.",0.06262359920896507,3.3416666666666663,0.20926719402329158,False,electronics engineering technicians,17-3023.01,3.333333333333333,4.0,3.8333333333333335,3.5,3.1666666666666665,3.333333333333333,3.1666666666666665,4.166666666666667,3.333333333333333,3.1666666666666665,3.6666666666666665,3.0,3.5,3.5,3.6666666666666665,4.0,3.5,4.0,4.0,3.1666666666666665,3.1666666666666665,3.333333333333333,2.333333333333333,2.1666666666666665
3,air traffic safety technician,3608,"Adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",0.06278839815425181,3.125,0.1962137442320369,True,electronics engineering technicians,17-3023.01,3.0,4.0,3.5,3.5,2.5,3.5,2.0,4.5,3.0,2.0,4.5,2.5,3.0,3.0,4.0,4.0,3.5,4.0,4.0,3.0,3.0,3.0,3.0,2.0
3,air traffic safety technician,3609,Procure parts and maintain inventory and related documentation.,0.05636123928806856,3.1625,0.17824241924851683,False,electronics engineering technicians,17-3023.01,4.0,3.5,3.5,3.0,3.5,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.5,3.0,3.5,3.5,3.5,3.5,3.0,3.5,3.0,2.5,2.25
3,air traffic safety technician,3610,"Maintain working knowledge of state-of-the-art tools or software by reading or attending conferences, workshops, or other training.",0.051911667765326304,3.3,0.17130850362557679,True,electronics engineering technicians,17-3023.01,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0
3,air traffic safety technician,3611,"Provide user applications or engineering support or recommendations for new or existing equipment with regard to installation, upgrades, or enhancements.",0.05355965721819381,3.9,0.20888266315095586,False,electronics engineering technicians,17-3023.01,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.5,4.0,4.0,4.0,3.5,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.5
3,air traffic safety technician,3612,"Write reports or record data on testing techniques, laboratory equipment, or specifications to assist engineers.",0.05636123928806856,3.575,0.20149143045484513,False,electronics engineering technicians,17-3023.01,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,2.5,3.0,4.0,3.0,3.0
3,air traffic safety technician,3613,"Provide customer support and education, working with users to identify needs, determine sources of problems, or to provide information on product use.",0.05866842452208306,3.9,0.22880685563612393,False,electronics engineering technicians,17-3023.01,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.5,4.0,4.0,4.0,3.5,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.5
3,air traffic safety technician,3614,"Design basic circuitry and draft sketches for clarification of details and design documentation under engineers' direction, using drafting instruments or computer-aided design (CAD) equipment.",0.05438365194462755,4.2,0.22841133816743572,False,electronics engineering technicians,17-3023.01,4.0,4.5,4.5,4.5,3.5,3.0,4.0,4.5,4.5,4.0,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.5,4.5,4.0,4.5,4.0,4.0,3.0
3,air traffic safety technician,3615,Build prototypes from rough sketches or plans.,0.05108767303889256,4.05,0.20690507580751488,True,electronics engineering technicians,17-3023.01,4.0,4.0,4.0,4.0,4.5,4.0,4.5,4.5,3.5,5.0,4.5,3.5,4.0,4.0,3.5,3.5,3.5,4.0,4.0,5.0,4.5,4.5,3.0,2.0
