task_id,task,detailed_work_activity,intermediate_work_activity,element,mean_task_SML,impact,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,qD,q19,q20,q21,q22,q23
1,Resolve customer complaints regarding sales and service.,Resolve customer complaints or problems.,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public,3.175,0.1519728441691326,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.5,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0
2,Monitor customer preferences to determine focus of sales efforts.,Conduct opinion surveys or needs assessments.,Collect data about consumer needs or opinions.,Getting Information,3.875,-0.0863479875339368,4.5,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0
3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.","Direct sales, marketing, or customer service activities.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",3.225,0.1385625226046372,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.5,3.0
4,Determine price schedules and discount rates.,Determine pricing or monetary policies.,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies,3.625,-0.008665421829607833,4.0,3.5,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0
5,Review operational records and reports to project sales and determine profitability.,Analyze financial records or reports to determine state of operations.,Analyze business or financial data.,Analyzing Data or Information,3.675,-0.026865725701124,3.5,4.0,4.0,3.5,4.5,3.5,3.5,3.5,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.5,4.0,3.5,4.0,3.0,3.0,3.0
6,"Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.","Direct sales, marketing, or customer service activities.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",3.225,0.11279327119935845,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.5,3.0
7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Confer with organizational members to accomplish work activities.,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates",3.5,0.027457145290523677,3.0,4.0,5.0,3.5,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.5,3.5,3.0,3.0,3.5,3.5,3.5,2.5,3.5,4.5,3.5,4.0
8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Advise others on business or operational matters.,Advise others on business or operational matters.,Provide Consultation and Advice to Others,3.6,-0.000712958154780452,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0
9,Prepare budgets and approve budget expenditures.,Prepare operational budgets.,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates",3.875,-0.08686201173034425,4.5,3.75,4.25,3.75,4.75,3.25,4.25,4.0,2.25,3.25,3.75,3.0,3.5,4.0,4.5,3.25,3.5,4.5,4.5,4.25,3.75,4.25,4.5,4.0
11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Manage human resources activities.,Manage human resources activities.,"Guiding, Directing, and Motivating Subordinates",3.625,-0.008385288954761982,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,3.75,4.0,3.75,3.75,3.5,3.0,4.5,4.0,3.5,3.5,4.5,3.0,3.75,4.5,3.25,3.5
12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Establish interpersonal business relationships to facilitate work activities.,Develop professional relationships or networks.,Establishing and Maintaining Interpersonal Relationships,3.6,-0.0007546800966085065,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.5,4.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.5
13,Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,Advise customers on technical or procedural issues.,Advise others on products or services.,Provide Consultation and Advice to Others,3.6,-0.0009027867614275209,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0
14,Oversee regional and local sales managers and their staffs.,Supervise employees.,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates",4.0,-0.13009563253045142,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,1.5
15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",Supervise employees.,Supervise personnel activities.,"Guiding, Directing, and Motivating Subordinates",4.0,-0.1181834119747438,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.5,1.5
16,Direct foreign sales and service outlets of an organization.,"Direct sales, marketing, or customer service activities.","Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",3.225,0.10117457331104918,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.5,3.0
17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.","Evaluate potential of products, technologies, or resources.","Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Things, Services, or People",3.2,0.12293462658680143,3.5,3.5,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.0,4.0,3.0,3.0
18,"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",Monitor facilities or operational systems.,Monitor operations to ensure adequate performance.,"Monitor Processes, Materials, or Surroundings",3.575,-0.10993622922571777,3.5,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.5,3.0,4.0,4.0,3.0,3.0,2.0,3.0
19,"Direct or coordinate the supportive services department of a business, agency, or organization.",Direct administrative or support services.,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",3.15,0.08156235283384161,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0
20,Set goals and deadlines for the department.,Develop organizational goals or objectives.,Develop organizational or program goals or objectives.,Thinking Creatively,3.025,0.1297443167086465,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.5,1.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0
21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Prepare operational progress or status reports.,Prepare reports of operational or procedural activities.,Documenting/Recording Information,3.7,-0.1577199450107991,4.0,3.0,3.0,4.0,4.0,3.5,3.0,4.5,4.0,3.0,4.0,3.5,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.5
