isco3_code,isco3_label,n_green_distinct,n_dig_distinct,n_isco4_codes,n_isco4_rows
214,dismantling engineer,214,2,7,125
213,pharmacologist,140,0,3,40
311,asphalt laboratory technician,129,2,9,134
132,import export manager in meat and meat products,76,0,4,118
313,petroleum pump system operator,67,1,6,35
121,accounting manager,45,0,4,30
712,tile fitter,41,1,7,25
325,paramedic in emergency responses,38,0,9,35
611,crop production manager,38,0,4,15
211,weather forecaster,37,0,4,29
312,insulation supervisor,37,0,3,59
216,mine surveyor,36,1,6,44
215,telecommunications engineer,36,1,3,27
314,biotechnical technician,35,0,3,12
134,head of higher education institutions,33,0,7,51
921,horticulture worker,31,0,6,14
242,housing policy officer,27,0,4,47
741,automotive battery technician,25,1,3,23
332,green coffee buyer,23,0,4,57
232,maritime instructor,22,0,1,25
511,environmental education officer,21,0,3,13
226,physiotherapist,21,0,8,38
713,construction painter,20,0,3,11
754,precision device inspector,18,0,4,34
961,recycling worker,18,0,3,4
541,crossing guard,16,0,5,26
243,hospitality revenue manager,16,1,4,48
335,marine cargo inspector,15,0,6,23
821,aircraft engine assembler,15,1,3,36
315,air traffic safety technician,15,0,5,27
711,bricklayer,13,0,6,16
613,mixed farmer,13,0,1,2
432,warehouse operators for clothing,12,0,3,27
516,animal care attendant,12,0,6,35
621,forest ranger,11,0,1,1
731,weaver,11,0,9,55
817,table saw operator,11,1,2,20
141,rooms division manager,10,0,2,4
833,bus driver,9,0,2,11
515,building caretaker,9,0,3,9
813,nonwoven filament machine operator,9,0,2,31
818,cigar brander,9,1,4,24
343,head chef,9,0,5,50
834,tower crane operator,9,0,4,19
143,tour operator manager,9,0,2,19
333,real estate manager,9,0,5,62
422,telephone switchboard operator,8,0,8,24
911,toilet attendant,8,0,2,7
622,aquaculture hatchery manager,8,0,4,16
342,professional athlete,8,0,3,28
814,tissue paper perforating and rewinding operator,8,1,3,34
752,frame maker,7,0,3,15
142,tobacco shop manager,7,0,1,49
751,meat cutter,7,0,6,28
962,locker room attendant,7,0,4,12
522,hardware and paint specialised seller,7,0,3,47
816,hydrogenation machine operator,7,0,1,55
225,specialised veterinarian,7,0,1,11
231,performing arts theatre instructor,7,0,1,45
263,criminologist,7,0,6,66
723,land-based machinery technician,7,1,4,33
131,aquaculture harvesting manager,6,0,2,4
122,clothing development manager,6,0,3,27
931,waterway construction labourer,6,0,3,9
811,slate mixer,6,0,4,26
112,public employment service manager,5,0,1,8
933,carriage driver,5,0,4,12
241,securities analyst,5,0,3,35
753,clothing product grader,5,0,6,39
261,judge,5,0,3,18
233,ICT teacher secondary school,5,0,1,19
815,protective clothing apparel manufacturer,5,0,8,51
812,metal drawing machine operator,4,1,2,19
912,linen room attendant,4,0,4,7
512,industrial cook,4,0,1,5
612,bee breeder,4,0,4,10
721,riveter,4,0,5,28
513,wine sommelier,3,0,2,10
742,telecommunications technician,3,1,2,16
265,technical director,3,0,7,54
223,acupuncturist,2,0,1,5
722,gear machinist,2,2,4,46
532,home care aide,2,0,3,6
212,actuarial consultant,2,0,1,7
331,insurance claims handler,2,0,5,35
341,legal guardian,2,0,3,30
732,flexographic press operator,1,0,3,21
835,fisheries deckhand,1,0,1,7
932,factory hand,1,0,2,4
011,fleet commander,1,0,1,12
531,primary school teaching assistant,1,0,2,10
352,performance video operator,1,1,2,14
111,public administration manager,1,0,3,17
251,software analyst,1,1,5,49
262,information manager,1,0,2,11
323,herbal therapist,1,0,1,1
324,animal artificial insemination technician,1,0,1,6
321,medical laboratory assistant,1,0,4,12
514,hairdresser,1,0,2,17
421,bookmaker,1,0,4,14
252,ICT security administrator,0,1,4,20
031,intelligence communications interceptor,0,0,1,5
952,hawker,0,0,1,1
951,leaflet distributor,0,0,1,1
941,quick service restaurant crew member,0,0,2,4
523,cashier,0,0,1,3
133,telecommunications manager,0,1,1,11
221,general practitioner,0,7,2,2
222,specialist nurse,0,0,2,4
234,primary school teacher,0,0,2,5
235,adult literacy teacher,0,0,7,37
521,market vendor,0,0,2,2
021,special forces officer,0,0,1,4
412,secretary,0,0,1,1
832,car and van delivery driver,0,0,2,8
831,rail switchperson,0,0,2,6
264,translator,0,0,3,35
524,"rental service representative in other machinery, equipment and tangible goods",0,0,7,22
322,maternity support worker,0,0,1,1
441,library assistant,0,0,6,8
431,auditing clerk,0,0,3,11
334,legal administrative assistant,0,0,4,24
351,ICT help desk manager,0,1,4,8
411,membership administrator,0,0,1,2
413,typist,0,0,2,2
