id,preferred_label,reuse_level,code,skill_category,coreness
0,manage musical staff,sector-specific,S4.8.1,S,0.002187323824928469
1,supervise correctional procedures,occupation-specific,S4.2.1,S,0.0
2,apply anti-oppressive practices,sector-specific,S3.3.0,S,0.0007483964600193353
3,control compliance of railway vehicles regulations,sector-specific,S3.3.3,S,0.04947250855905914
4,identify available services,cross-sector,S3.1.3,S,0.0015772502066966243
5,perform toxicological studies,cross-sector,S2.8.6,S,0.03627306231955575
6,ensure coquille uniformity,occupation-specific,S6.7.3,S,0.0
7,Haskell,sector-specific,K6.0.3,K,0.16058686381674012
8,apply diplomatic principles,cross-sector,S1.1.2,S,0.02379955626058553
9,lead police investigations,sector-specific,S2.1.1,S,0.0008449082543424284
10,handle fish harvesting waste,sector-specific,S6.13.2,S,0.0032791683743606777
11,develop energy saving concepts,cross-sector,S4.1.3,S,0.07749672643170823
12,perform street interventions in social work,sector-specific,S3.1.2,S,0.0
13,work with soloists,sector-specific,S1.8.1,S,0.0006815807264214207
14,sport and exercise medicine,cross-sector,K9.1.2,K,0.05062240833217241
15,conduct research on flora,sector-specific,S2.7.2,S,0.01850078463186594
16,install heat pump,cross-sector,S7.2.1,S,0.0017273578788748294
17,handle equipment while suspended,occupation-specific,S6.2.4,S,0.0
18,teach housekeeping skills,cross-sector,S1.3.5,S,0.004844395437127804
19,check train engines,sector-specific,S2.8.1,S,0.019569477944121987
20,manufacture ingredients,sector-specific,S8.5.4,S,0.03254961200075221
21,maintain aquaculture ponds,occupation-specific,S6.9.2,S,0.0
22,apply credit risk policy,cross-sector,S3.3.3,S,0.017143252517701796
23,handle customer requests related to cargo,occupation-specific,S3.4.1,S,0.0
24,utilise advanced clinical skills,sector-specific,S3.2.1,S,0.007819410565151055
25,Incremental development,sector-specific,K6.0.3,K,0.03284597666400388
26,use of special equipment for daily activities,occupation-specific,K9.1.5,K,0.0
27,sawing techniques,sector-specific,K7.2.2,K,0.013987700332093242
28,produce guitar components,sector-specific,S6.5.1,S,0.0
29,operate agricultural machinery,sector-specific,S8.1.2,S,0.07880336870214913
30,control pyrotechnics stock,occupation-specific,S6.1.1,S,0.0
31,guarantee customer satisfaction,sector-specific,A1.12.3,A,0.21418596805102008
32,manufacture wearing apparel products,sector-specific,S6.5.6,S,0.0007559810450352503
33,cure tobacco leaves,sector-specific,S6.5.8,S,0.0009801000774678872
34,develop a rehabilitation programme,cross-sector,S3.2.4,S,0.007457833790404638
35,maintain inventory of cleaning supplies,sector-specific,S2.2.5,S,0.011358871558832908
36,cold vulcanisation,occupation-specific,K7.1.1,K,0.0
37,supervise housekeeping operations,sector-specific,S4.2.1,S,0.006082459592657787
38,act as contact person during equipment incident,cross-sector,S3.3.1,S,0.0353970566332108
39,manage time in landscaping,sector-specific,S4.2.2,S,0.0016084326580621067
40,advise customers,sector-specific,S1.5.3,S,0.01110913872359428
41,manage university department,occupation-specific,S4.2.1,S,0.0
42,develop terminology databases,sector-specific,S2.3.0,S,0.004941853557162698
43,assess nutritional characteristics of food,sector-specific,S3.5.1,S,0.019471200364290765
44,repair electric bicycles,occupation-specific,S8.8.1,S,0.0
45,maintain sorting equipment,sector-specific,S8.7.2,S,0.00012828476763121268
46,explain features in accommodation venue,sector-specific,S3.4.1,S,0.0037181398073096975
47,types of barley,sector-specific,K7.2.1,K,0.007691124335840781
48,KDevelop,sector-specific,K6.0.2,K,0.027531890639577776
49,carry out parts purchasing,sector-specific,S1.6.3,S,0.010398883205275107
50,inspect offshore constructions,cross-sector,S1.5.1,S,0.012398328961961531
51,transport patient to medical facility,sector-specific,S3.6.1,S,0.0005575492420636355
52,adjust envelope cutting settings,occupation-specific,S8.5.8,S,0.0
53,prepare oils,sector-specific,S6.3.1,S,0.0
54,purchase supplies,sector-specific,S1.6.3,S,0.01953931533395254
55,pursue excellence in the creation of food products,sector-specific,S1.11.3,S,0.0034015586015593334
56,maintain personal hygiene standards when cleaning,sector-specific,A1.3.0,A,0.0109838292569037
57,liaise with typists,cross-sector,S1.2.1,S,0.0
58,assess railway operations,sector-specific,S2.1.1,S,0.014671685333494782
59,practise extreme sports,occupation-specific,S1.14.1,S,0.0
60,provide chaperone for children on set,occupation-specific,S3.6.3,S,0.0
61,organise labour,cross-sector,S4.2.0,S,0.02514963368986581
62,use glass engraving tools,sector-specific,S8.5.8,S,0.0036856157766951706
63,operate wrecking ball,sector-specific,S8.1.1,S,0.0004906569830132895
64,evaluate garment quality,cross-sector,S2.8.1,S,0.01460035614760595
65,apply for refunds,occupation-specific,S4.4.2,S,0.0
66,Absorb (learning management systems),sector-specific,K6.0.2,K,0.0
67,peform small vessel administrative duties,occupation-specific,S4.4.0,S,0.0
68,cosmetics ingredients,sector-specific,K10.1.2,K,0.037389285132052225
69,human dynamics as part of hospitality security,occupation-specific,K10.3.2,K,0.0
70,advise on construction materials,cross-sector,S1.5.3,S,0.13987745811961247
71,maintain rotating equipment,sector-specific,S8.7.2,S,0.008058209831387398
72,manage volunteers in second-hand shop,occupation-specific,S4.8.1,S,0.0
